filename,xmin,ymin,xmax,ymax,color
00001.jpg,1026.5,741.8,1077.5,910.9,red
00002.jpg,1418.7,1136.8,1428.3,1149.4,red
00003.jpg,2574.3,868.7,2632.3,887.1,red
00003.jpg,2252.1,899.6,2300.8,918.7,green
00004.jpg,833.3,1163.2,843.6,1184.8,green
00004.jpg,1294.9,1071.8,1304.9,1095.0,red
00004.jpg,1311.8,1072.4,1333.3,1089.6,green
00004.jpg,1343.0,1071.2,1352.8,1094.4,green
00005.jpg,1312.8,1075.2,1330.5,1088.9,green
00005.jpg,1342.9,1070.1,1351.3,1094.4,green
00006.jpg,1296.4,1071.6,1303.8,1095.4,red
00006.jpg,1312.8,1075.2,1330.5,1088.9,green
00006.jpg,1342.9,1070.1,1351.3,1094.4,green
00008.jpg,1054.2,1114.8,1083.4,1164.8,green
00008.jpg,227.8,1065.5,322.8,1129.3,green
00008.jpg,211.0,972.8,240.8,1056.0,green
00008.jpg,165.0,971.3,200.2,1057.0,green
00010.jpg,1618.4,1024.3,1642.1,1042.7,red
00011.jpg,938.7,1118.3,952.0,1143.9,green
00011.jpg,1602.4,1021.5,1615.5,1054.2,green
00011.jpg,1623.1,1026.4,1648.7,1050.3,green
00011.jpg,1959.1,1105.5,1971.4,1130.5,green
00012.jpg,2581.1,986.2,2622.5,1046.6,green
00012.jpg,1702.5,881.2,1750.1,922.1,green
00012.jpg,1660.4,874.1,1683.9,933.4,green
00012.jpg,67.2,1013.0,111.6,1077.3,red
00013.jpg,1036.1,1072.6,1045.1,1095.0,red
00013.jpg,1029.9,1126.4,1037.5,1146.4,red
00013.jpg,1544.3,1054.7,1553.3,1075.6,red
00013.jpg,1568.8,1055.7,1587.9,1072.2,red
00013.jpg,1609.0,1050.4,1619.0,1077.6,red
00013.jpg,1715.8,1096.1,1725.6,1117.2,red
00013.jpg,1851.4,1107.2,1865.2,1121.2,red
00014.jpg,1529.6,1055.5,1547.7,1100.2,green
00014.jpg,1042.3,1053.9,1061.6,1100.1,green
00015.jpg,1378.0,1115.3,1388.1,1124.2,red
00016.jpg,1041.6,1152.5,1047.5,1161.2,red
00016.jpg,1354.7,1089.5,1361.1,1103.8,red
00016.jpg,1366.3,1091.2,1376.9,1100.6,red
00016.jpg,1508.7,1113.3,1518.6,1121.6,red
00016.jpg,1511.1,1135.8,1517.6,1141.3,red
00017.jpg,802.8,1146.1,813.8,1168.0,red
00017.jpg,1355.5,1044.8,1364.0,1067.4,red
00017.jpg,1373.8,1047.5,1391.7,1061.2,red
00017.jpg,1622.7,1084.0,1632.6,1107.6,red
00017.jpg,1623.1,1118.7,1634.1,1136.8,red
00018.jpg,657.8,1130.9,669.2,1157.6,red
00018.jpg,1750.3,1049.0,1761.1,1078.8,red
00018.jpg,1755.2,1095.0,1763.3,1106.0,red
00018.jpg,2508.1,834.8,2530.7,881.4,green
00018.jpg,2536.6,834.8,2570.0,864.4,green
00019.jpg,657.8,1130.9,669.2,1157.6,red
00019.jpg,1750.3,1049.0,1761.1,1078.8,red
00019.jpg,1755.2,1095.0,1763.3,1106.0,red
00019.jpg,2536.6,834.8,2570.0,864.4,green
00020.jpg,1752.7,1051.9,1763.5,1081.7,green
00020.jpg,2508.1,834.8,2530.7,881.4,red
00020.jpg,2536.6,834.8,2570.0,864.4,green
00021.jpg,851.7,1076.6,874.7,1124.9,green
00021.jpg,1994.9,875.8,2015.5,921.6,green
00021.jpg,2032.6,879.5,2071.8,910.1,green
00023.jpg,1431.0,1015.6,1439.7,1039.9,green
00023.jpg,1451.0,1018.3,1471.8,1035.8,green
00023.jpg,1656.7,1063.0,1668.1,1087.6,green
00023.jpg,2260.8,866.8,2284.2,891.1,red
